GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
msftmrhozba,msftmrhozba,ocean_meridional_overturning_mass_streamfunction_due_to_bolus_advection,Ocean Meridional Overturning Mass Streamfunction due to Bolus Advection,ocean,kg s-1
calc,calc,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,Calcite Concentration at Surface,ocean_biochem,mol m-3	
hfssi,hfssi,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux over Sea Ice,ocean & ice,W m-2
parasolRefl,parasolRefl,toa_bidirectional_reflectance,PARASOL Reflectance,atmos,1
aredi,diftrelo,ocean_tracer_epineutral_laplacian_diffusivity,Ocean Tracer Epineutral Laplacian Diffusivity,ocean,m2 s-1
conv_cld_top,cct,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,atmos,Pa
hfyba,hfyba,ocean_heat_y_transport_due_to_bolus_advection,Ocean Heat Y Transport due to Bolus Advection,ocean,W
v,vo,sea_water_y_velocity,Sea Water Y Velocity,ocean,m s-1
omega,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),atmos,Pa s-1
sftlf,sftlf,land_area_fraction,Land Area Fraction,atmos,%
olr_clr,rlutcsClim,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,atmos,W m-2
netrad_toa,rtoa,toa_net_downward_radiative_flux,TOA Net Downward Radiation,atmos,W m-2
om_wet_dep,wetpoa,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Primary Organic Matter,aerosol,kg m-2 s-1
hfxdiff,hfxdiff,ocean_heat_x_transport_due_to_diffusion,Ocean Heat X Transport due to Diffusion,ocean,W
mcd,mcd,atmosphere_downdraft_convective_mass_flux,Downdraught Convective Mass Flux,atmos,kg m-2 s-1
ageice,ageice,age_of_sea_ice,Age of Sea Ice,ocean & ice,years
areacello,areacello,cell_area,Ocean Grid-Cell Area,ocean,m-2
phyp,phyp,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,Phytoplankton Phosphorus Concentration,ocean_biochem,mol m-3
totNH4_wet_dep,wetnh4,tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of NH4+NH3,aerosol,kg m-2 s-1
sst_sq,tossq,square_of_sea_surface_temperature,Square of Sea Surface Temperature,ocean,K2
gm_eddy_ke_source,tnkebto,tendency_of_ocean_eddy_kinetic_energy_content_due_to_bolus_transport,Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport,ocean,W m-2
tnhusmp,tnhusmp,tendency_of_specific_humidity_due_to_model_physics,Tendency of Specific Humidity due to Model Physics,atmos,s-1
WP_all_clouds,clwviClim,atmosphere_cloud_condensed_water_content,Condensed Water Path,atmos,kg m-2
cSoilMedium,cSoilMedium,medium_soil_pool_carbon_content,Carbon Mass in Medium Soil Pool,land,kg m-2
lai,lai,leaf_area_index,Leaf Area Index,land,1
IWP_all_clouds,clivi,atmosphere_cloud_ice_content,Ice Water Path,atmos,kg m-2
mrsos,mrsos,moisture_content_of_soil_layer,Moisture in Upper Portion of Soil Column,land,kg m-2
no3,no3,mole_concentration_of_nitrate_in_sea_water,Dissolved Nitrate Concentration at Surface,ocean_biochem,mol m-3
zsatarag,zsatarag,minimum_depth_of_aragonite_undersaturation_in_sea_water,Aragonite Saturation Depth,ocean_biochem,m
aiso_bih,difmxybo,ocean_momentum_xy_biharmonic_diffusivity,Ocean Momentum XY Biharmonic Diffusivity,ocean,m4 s-1
prsn,prsn,snowfall_flux,Snowfall Flux where Ice Free Ocean over Sea,ocean,kg m-2 s-1
sens_heat,hfss,surface_downward_sensible_heat_flux,Surface Downward Sensible Heat Flux,ocean,W m-2
evspsblsoi,evspsblsoiClim,water_evaporation_flux_from_soil,Water Evaporation from Soil,land,kg m-2 s-1
sulfate_col_cmip,loadso4,atmosphere_mass_content_of_sulfate_dry_aerosol,Load of SO4,atmos,kg m-2
ccliq,clwc,mass_fraction_of_convective_cloud_liquid_water_in_air,Mass Fraction of Convective Cloud Liquid Water,atmos,1
clmcalipso_sat,clmcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Mid Level Cloud Fraction,atmos,%
tot_nh4_col,loadnh4,atmosphere_mass_content_of_ammonium_dry_aerosol,Load of NH4,atmos,kg m-2
pr_ocean,pr,rainfall_flux,Rainfall Flux where Ice Free Ocean over Sea,ocean,kg m-2 s-1
lw_heat,rlds,surface_net_downward_longwave_flux,Surface Net Downward Longwave Radiation,ocean,W m-2
streng,streng,compressive_strength_of_sea_ice,Compressive Sea Ice Strength,ocean & ice,N m-1
psl,pslClim,air_pressure_at_sea_level,Sea Level Pressure,atmos,Pa
expp,expp,sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,Sinking Particulate Organic Phosphorus Flux,ocean_biochem,mol m-2 s-1
fddtdin,fddtdin,tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen,Rate of Change of Net Dissolved Inorganic Nitrogen,ocean_biochem,mol m-2 s-1
LH,hfls,surface_downward_latent_heat_flux,Surface Downward Latent Heat Flux,ocean,W m-2
snd,snd,surface_snow_thickness,Snow Depth,ocean & ice,m
prsn,prsn,snowfall_flux,Surface Snowfall Rate into the Sea Ice Portion of the Grid Cell,ocean & ice,kg m-2 s-1
conv_cld_base,ccb,air_pressure_at_convective_cloud_base,Air Pressure at Convective Cloud Base,atmos,Pa
phypico,phypico,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,"Mole Concentration of Picophytoplankton expressed as Carbon in Sea Water
",ocean_biochem,mol m-3
phyn,phyn,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,Phytoplankton Nitrogen Concentration at Surface,ocean_biochem,mol m-3
hblt_max,omlmax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,Monthly Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean,m
rh_cm,rh,relative_humidity,Relative Humidity,atmos,%
emibcv2,emibc,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission,Emission Rate of Black Carbon Aerosol Mass,aerosol,kg m-2 s-1
fl_ccrain,prcprof,convective_rainfall_flux,Convective Rainfall Flux,atmos,kg m-2 s-1
zh,zhalf,height_above_reference_ellipsoid,Altitude of Model Half-Levels,atmos,m
evap_hflux,hfevapds,temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water,Temperature Flux due to Evaporation Expressed as Heat Flux Out of Sea Water,ocean,W m-2
co3,co3,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Mole Concentration of Carbonate expressed as Carbon in Sea Water,ocean_biochem,mol m-3
mrlsl,mrlslClim,moisture_content_of_soil_layer,Water Content of Soil Layer,land,kg m-2
sea_level_sq,zossq,square_of_sea_surface_height_above_geoid,Square of Sea Surface Height Above Geoid,ocean,m2
treeFrac,treeFrac,area_fraction,Tree Cover Fraction,land,%
wetso4,wetso4,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of SO4,aerosol,kg m-2 s-1
tot_no3_col,loadno3,atmosphere_mass_content_of_nitrate_dry_aerosol,Load of NO3,atmos,kg m-2
fsfe,fsfe,tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution,Surface Downward Net Flux of Iron,ocean_biochem,mol m-2 s-1
wind_ref,sfcWind,wind_speed,"Daily-Mean Near-Surface Wind Speed
",atmos,m s-1
chldiat,chldiat,mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,Diatom Chlorophyll Mass Concentration,ocean_biochem,kg m-3
shrubFrac,shrubFrac,area_fraction,Shrub Fraction,land,%
tmelt,tmelt,rate_of_melt_at_upper_surface_of_sea_ice,Rate of Melt at Upper Surface of Sea Ice,ocean & ice,kg m-2 s-1
phyc,phyc,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,Phytoplankton Carbon Concentration at Surface,ocean_biochem,mol m-3
zosga,zosga,global_average_sea_level_change,Global Average Sea Level Change,ocean,m
clw,clw,mass_fraction_of_cloud_liquid_water_in_air,Mass Fraction of Cloud Liquid Water,atmos,1
chl,chl,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,Total Chlorophyll Mass Concentration,ocean_biochem,kg m-3
cMisc,cMisc,miscellaneous_living_matter_carbon_content,Carbon Mass in Other Living Compartments on Land,land,kg m-2
conv_cld_top,cctClim,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,atmos,Pa
swdn_sfc,rsdsClim,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,atmos,W m-2
swdn_toa,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,atmos,W m-2
gridspec,gridspec,[gridspec_ocean],Gridspec,ocean,
POA_col,loadpoa,atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol,Load of Dry Aerosol Primary Organic Matter,atmos,kg m-2
salt_global_ave,soga,sea_water_salinity,Global Mean Sea Water Salinity,ocean,psu
sic_atm,sic,sea_ice_area_fraction,Sea Ice Area Fraction,seaIce & ocean,%
concsoa,concsoa,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air,Concentration of Dry Aerosol Secondary Organic Matter,aerosol,kg m-3
strocnx,strocnx,upward_x_stress_at_sea_ice_base,Eastward Ocean Stress On Sea Ice,ocean & ice,N m-2
frn,frn,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation,Nitrogen Loss to Sediments and through Denitrification,ocean_biochem,mol m-2 s-1
expsi,expsi,sinking_mole_flux_of_particulate_silicon_in_sea_water,Sinking Particulate Silica Flux,ocean_biochem,mol m-2 s-1
shflx,hfssClim,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,atmos,W m-2
friver,friver,water_flux_into_sea_water_from_rivers,Water Flux into Sea Water From Rivers,ocean,kg m-2 s-1
mrlso,mrfso,soil_frozen_water_content,Soil Frozen Water Content,land & landIce,kg m-2
intpdiat,intpdiat,net_primary_mole_productivity_of_carbon_by_diatoms,Primary Organic Carbon Production by Diatoms,ocean_biochem,mol m-2 s-1
lat_sat,lat,latitude,Latitude,atmos,degrees_north
swdn_tot_dif_clr,rsdscsdiff,diffuse_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Diffuse Downward Clear Sky Shortwave Radiation,aerosol & land,W m-2
fediss,fediss,tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_dissolution_from_inorganic_particles,Particle Source of Dissolved Iron,ocean_biochem,mol m-3 s-1
tot_NH4_ddep_cmip,drynh4,tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of NH4,aerosol,kg m-2 s-1
t_ref,tas,air_temperature,Near-Surface Air Temperature,atmos,K
rhopoto,rhopoto,sea_water_potential_density,Sea Water Potential Density,ocean,kg m-3
phyppico,phyppico,tendency_of_mole_concentration_of_organic_carbon_in_sea_water_due_to_net_primary_production_by picophytoplankton,Tendency of Mole Concentration of Organic Carbon in Sea Water due to Net Primary Production by Picop,ocean_biochem,mol m-3 s-1
tauuo,tauuo,surface_downward_x_stress,Surface Downward X Stress,ocean,N m-2
UI,usi,eastward_sea_ice_velocity,Eastward Sea Ice Velocity,seaIce & ocean,m s-1
lai,laiClim,leaf_area_index,Leaf Area Index,land,1
arag,arag,mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,Aragonite Concentration at Surface,ocean_biochem,mol m-3	
tauv,tauv,surface_downward_northward_stress,Surface Downward Northward Wind Stress,atmos,Pa
phymisc,phymisc,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in Sea Water,ocean_biochem,mol m-3
q_ref,hussClim,specific_humidity,Near-Surface Specific Humidity,atmos,1
rldssi,rldssi,surface_downwelling_longwave_flux_in_air,Downward Long Wave over Sea Ice,ocean & ice,W m-2
chlpico,chlpico,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,"Mass Concentration of Picophytoplankton expressed as Chlorophyll in Sea Water
",ocean_biochem,kg m-3
orog,orog,surface_altitude,Surface Altitude,land,m
swdn_sfc,rsds,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,atmos,W m-2
psl,psl,air_pressure_at_sea_level,Sea Level Pressure,atmos,Pa
mrro,mrroClim,runoff_flux,Total Runoff,land,kg m-2 s-1
zsatcalc,zsatcalc,minimum_depth_of_calcite_undersaturation_in_sea_water,Calcite Saturation Depth,ocean_biochem,m
dust_wet_dep,wetdust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dust,aerosol,kg m-2 s-1
rrvn2o,n2oglobal,mole_fraction_of_nitrous_oxide_in_air,Global Mean Mole Fraction of N2O,atmosChem,1e-9
intpnitrate,intpnitrate,net_primary_mole_productivity_of_carbon_due_to_nitrate_utilization,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,ocean_biochem,mol m-2 s-1
sfdsi,sfdsi,downward_sea_ice_basal_salt_flux,Downward Sea Ice Basal Salt Flux,ocean & seaIce,kg m-2 s-1
snm,snm,surface_snow_melt_flux,Surface Snow Melt,ocean & ice,kg m-2 s-1
arag,arag,mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,Aragonite Concentration,ocean_biochem,mol m-3
ec550aer,ec550aer,optical_thickness_of_atmosphere_layer_due_to_ambient_aerosol,Ambient Aerosol Extinction Optical Thickness at 550 nm,aerosol,m-1
lwup_sfc,rlus,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,atmos,W m-2
evspsblsoi,evspsblsoi,water_evaporation_flux_from_soil,Water Evaporation from Soil,land,kg m-2 s-1
mrso,mrso,soil_moisture_content,Total Soil Moisture Content,land,kg m-2
cWood,cWood,wood_carbon_content,Carbon Mass in Wood,land,kg m-2
gpp,gpp,gross_primary_productivity_of_carbon,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,land,kg m-2 s-1
swup_sfc_clr,rsuscs,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,atmos,W m-2
fGrazing,fGrazing,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_grazing,Carbon Mass Flux into Atmosphere due to Grazing on Land,land,kg m-2 s-1
cls,cls,stratiform_cloud_area_fraction_in_atmosphere_layer,Stratiform Cloud Area Fraction,atmos,%
hfnorth,hfnorth,northward_ocean_heat_transport,Northward Ocean Heat Transport,ocean,W
grLateral,grLateral,lateral_sea_ice_growth_rate,Lateral Sea Ice Growth Rate,ocean & ice,kg m-2 s-1
sst_sq,tsosq,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,Mean Square of Sea Surface Temperature,aerosol,K2
mrro,mrro,runoff_flux,Total Runoff,land,kg m-2 s-1
snoToIce,snoToIce,tendency_of_sea_ice_amount_due_to_snow_conversion,Snow-Ice Formation Rate,ocean & ice,kg m-2 s-1
2d_cld_amt,clt,cloud_area_fraction,Total Cloud Fraction,atmos,%
bfe,bfe,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,Particulate Biogenic Iron Concentration,ocean_biochem,mol m-3
aer_ex_c_vs,od550aer,atmosphere_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Opitical Thickness at 550 nm,aerosol,1
sfc_salt_flux_runoff,sfriver,salt_flux_into_sea_water_from_rivers,Salt Flux into Sea Water from Rivers,ocean,kg m-2 s-1
pso,pso,sea_water_pressure_at_sea_water_surface,Sea Water Pressure at Sea Water Surface,ocean,dbar
evs,evs,water_evaporation_flux,Water Evaporation Flux Where Ice Free Ocean over Sea,ocean,kg m-2 s-1
expcfe,expcfe,sinking_mole_flux_of_particulate_iron_in_sea_water,Sinking Particulate Iron Flux,ocean_biochem,mol m-2 s-1
fsc,fsc,tendency_of_ocean_mole_content_of_carbon_due_to_runoff_and_sediment_dissolution,Flux of Carbon Into Ocean Surface by Runoff and Sediment Dissolution,ocean_biochem,mol m-2 s-1
ta,ta,air_temperature,Air Temperature,atmos,K
msftyrhoz,msftyrhoz,ocean_y_overturning_mass_streamfunction,Ocean Y Overturning Mass Streamfunction,ocean,kg s-1
transifs,transifs,sea_ice_transport_across_line,Sea Ice Mass Transport Through Fram Strait,ocean & ice,kg s-1
ssi,ssi,sea_ice_salinity,Sea Ice Salinity,ocean & ice,psu
wind_ref_max,sfcWindmax,wind_speed,Daily Maximum Near-Surface Wind Speed,atmos,m s-1
reffclwtop,reffclwtop,effective_radius_of_cloud_liquid_water_particle_at_liquid_water_cloud_top,Cloud-Top Effective Droplet Radius,aerosol,m
pm25_ex_c_vs,od550lt1aer,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol,Ambient Fine Aerosol Opitical Thickness at 550 nm,aerosol,1
ssalt_ddep,dryss,tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Seasalt,aerosol,kg m-2 s-1
swdn_toa,rsdtClim,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,atmos,W m-2
lon_sat,lon,longitude,Longitude,atmos,degrees_east
tos,tos,sea_surface_temperature,Sea Surface Temperature,ocean,K
swdn_sfc_clr,rsdscsClim,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,atmos,W m-2
LWSs,lwsnl,liquid_water_content_of_snow_layer,Liquid Water Content of Snow Layer,land_ice,kg m-2
reff_ccclice,reffclic,effective_radius_of_convective_cloud_ice_particle,Hydrometeor Effective Radius of Convective Cloud Ice,atmos,m
olr,rlutClim,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,atmos,W m-2
omega,wapClim,lagrangian_tendency_of_air_pressure,omega (=dp/dt),atmos,Pa s-1
c4PftFrac,c4PftFrac,area_fraction,Total C4 PFT Cover Fraction,land,%
lwdn_sfc,rldsClim,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,atmos,W m-2
rsd,rsd,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation,atmos,W m-2
hfds,hfds,surface_downward_heat_flux_in_sea_water,Downward Heat Flux at Sea Water Surface,ocean,W m-2
mc_full,mc,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,atmos,kg m-2 s-1
concnh4,concnh4,mass_concentration_of_ammonium_dry_aerosol_in_air,Concentration of NH4,aerosol,kg m-3
basin,basin,region,Region Selection Index,ocean,1
fddtdife,fddtdife,tendency_of_ocean_mole_content_of_dissolved_inorganic_iron,Rate of Change of Net Dissolved Inorganic Iron,ocean_biochem,mol m-2 s-1
phalf_cmip,phalf,air_pressure,Pressure on Model Half-Levels,aerosol,Pa
wmosq,wmosq,square_of_upward_ocean_mass_transport,Square of Upward Ocean Mass Transport,ocean,kg2 s-2
bddtdin,bddtdin,tendency_of_mole_concentration_of_dissolved_inorganic_nitrogen_in_sea_water_due_to_biological_processes,Rate of Change of Nitrogen Nutrient due to Biological Activity,ocean_biochem,mol m-3 s-1
pr,pr,rainfall_flux,Rainfall Flux where Ice Free Ocean over Sea,atmos,kg m-2 s-1
v_ref,vasClim,northward_wind,Northward Near-Surface Wind,aerosol,m s-1
npp,npp,net_primary_productivity_of_carbon,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land,land,kg m-2 s-1
fddtdisi,fddtdisi,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon,Rate of Change of Net Dissolved Inorganic Silicate,ocean_biochem,mol m-2 s-1
rsntds,rsntds,net_downward_shortwave_flux_at_sea_water_surface,Net Downward Shortwave Radiation at Sea Water Surface,ocean,W m-2
T,ta,air_temperature,Air Temperature,atmos,K
mcu,mcu,atmosphere_updraft_convective_mass_flux,Updraught Convective Mass Flux,atmos,kg m-2 s-1
WP_all_clouds,clwvi,atmosphere_cloud_condensed_water_content,Condensed Water Path,atmos,kg m-2
visc_cbu_back,difvmbo,ocean_vertical_momentum_diffusivity_due_to_background,Ocean Vertical Momentum Diffusivity due to Background,ocean,m2 s-1
tau_y,tauv,surface_downward_northward_stress,Surface Downward Northward Wind Stress,atmos,Pa
